Date,Open,High,Low,Close,Adj Close,Volume
1/18/2018,1016.44,1100.31,967.76,1036.28,1036.28,5938319872
1/19/2018,1028.82,1093.22,1003.71,1039.10,1039.10,4084450048
1/20/2018,1044.95,1167.11,1044.95,1155.15,1155.15,3975190016
1/21/2018,1155.68,1155.68,1021.50,1049.58,1049.58,3378089984
1/22/2018,1055.35,1089.10,930.74,1003.26,1003.26,3810099968
1/23/2018,1004.17,1023.23,920.54,986.23,986.23,3556699904
1/24/2018,987.48,1062.44,965.81,1058.78,1058.78,3944039936
1/25/2018,1063.22,1104.66,1034.74,1056.03,1056.03,4050190080
1/26/2018,1052.70,1080.60,996.78,1055.17,1055.17,3617690112
1/27/2018,1055.75,1121.98,1042.12,1107.07,1107.07,3002870016
1/28/2018,1111.78,1257.77,1111.78,1246.01,1246.01,5372329984
1/29/2018,1246.70,1256.70,1169.08,1182.36,1182.36,3715079936
1/30/2018,1184.13,1184.63,1058.97,1071.13,1071.13,4107859968
1/31/2018,1071.09,1128.66,1034.50,1118.31,1118.31,3757560064
2/1/2018,1119.37,1161.35,984.82,1036.79,1036.79,5261680128
2/2/2018,1035.77,1035.77,757.98,915.78,915.78,6713290240
2/3/2018,919.21,991.94,847.69,964.02,964.02,3243480064
2/4/2018,964.67,969.03,805.06,834.68,834.68,2997090048
2/5/2018,834.96,856.65,644.60,697.95,697.95,4269530112
2/6/2018,707.74,796.44,574.42,793.12,793.12,6518269952
2/7/2018,790.43,851.20,723.43,757.07,757.07,3896179968
2/8/2018,755.84,845.09,755.84,817.81,817.81,3708189952
2/9/2018,818.48,884.00,788.83,883.86,883.86,2495820032
2/10/2018,882.47,917.40,825.58,860.41,860.41,2930530048
2/11/2018,859.29,859.29,788.22,814.66,814.66,2486650112
2/12/2018,817.51,875.94,817.51,868.71,868.71,2243450112
2/13/2018,869.29,870.71,828.84,845.26,845.26,2081170048
2/14/2018,844.28,926.43,844.28,923.56,923.56,2818370048
2/15/2018,923.73,951.95,911.11,936.98,936.98,2900100096
2/16/2018,934.79,950.01,917.85,944.21,944.21,2369449984
2/17/2018,944.75,976.59,940.75,974.11,974.11,2525720064
2/18/2018,973.35,982.93,915.45,923.92,923.92,2567290112
2/19/2018,921.67,957.78,921.55,943.86,943.86,2169019904
2/20/2018,943.57,965.27,892.95,895.37,895.37,2545260032
2/21/2018,894.14,912.38,830.56,849.97,849.97,2531729920
2/22/2018,849.26,875.93,802.67,812.84,812.84,2150370048
2/23/2018,811.59,886.32,794.79,864.19,864.19,2334820096
2/24/2018,861.59,879.53,818.55,840.52,840.52,1926579968
2/25/2018,839.46,853.15,822.38,844.81,844.81,1646960000
2/26/2018,845.28,880.39,842.32,869.32,869.32,2044480000
2/27/2018,870.36,896.26,867.10,878.27,878.27,2053980032
2/28/2018,877.93,890.11,855.12,855.20,855.20,1963980032
3/1/2018,856.01,880.30,851.92,872.20,872.20,1868519936
3/2/2018,871.76,876.38,852.42,856.85,856.85,1894419968
3/3/2018,856.71,868.45,855.21,857.22,857.22,1699369984
3/4/2018,856.19,867.95,840.28,866.68,866.68,1697939968
3/5/2018,866.85,869.92,853.52,853.68,853.68,1898489984
3/6/2018,853.82,853.82,809.93,816.95,816.95,1943069952
3/7/2018,816.27,825.61,726.55,752.83,752.83,2175419904
3/8/2018,752.57,773.77,696.17,704.60,704.60,1891640064
3/9/2018,702.20,729.16,648.11,728.92,728.92,2233019904
3/10/2018,730.16,748.03,682.70,686.89,686.89,1532960000
3/11/2018,685.31,735.83,668.12,723.34,723.34,1562680064
3/12/2018,724.41,742.51,683.27,699.83,699.83,1764999936
